"1","あ、そうだ、最後がＸＹＺだから、\nＷ、Ｘ、Ｙ、Ｚ！　ですよね！","Oh yeah, because the last is XYZ,\nW, X, Y, Z！ That's right！","Ah sim, porque o último é XYZ,\nW, X, Y, Z！ Está certo！"
"2","あのー？\nアルファベットの書き取りなんてしなくても、\n私、ちゃんと全部言えますよ？","Um, huh？ Even if you don't write down the\nalphabet,\nCan I say everything properly, right？","Hum, hein？ Mesmo que você não escreva o alfabeto\n,\nPosso dizer tudo corretamente, certo？"
"3","いやいや、そこまで落ち込むな。\nこの違いは、いわゆる方言だと思えばいい。","No, no, don't be that depressed。\nYou can think of this difference as a so-called dialect。","Não, não fique tão deprimido。\nVocê pode pensar nessa diferença como o chamado dialeto。"
"4","えっ？　そうなんですか？\nよくゼットって聞きますけど。","Eh？ Is that so？\nI often hear Zed。","Eh？ É isso mesmo？\nCostumo ouvir Zed。"
"5","じゃあ、私たちが勉強している英語じゃ\n通じないこともあるんですか？","Then, is there something that you can't\nin the English we are studying？","Então, há algo que você não consegue\nno inglês que estamos estudando？"
"6","そういうことだ。\n難しく考えすぎるなよ。","That's what it is。\nDon't think too hard","Isso é o que é。\nNão pense muito"
"7","そんな……。\n私は、一体どこの人向けの英語を\n勉強してるんでしょう……。","Such……。\nWho…I studying English for？\n…","Tal……。\nPara quem…estudando inglês？\n…"
"8","とはいえ、アメリカでも、\n東海岸、西海岸、南部英語なんて\n分かれているらしいが。","However, even in the United States, it seems that\nEast Coast, West Coast, and Southern English are divided into\n。","No entanto, mesmo nos Estados Unidos, parece que\nEast Coast, West Coast e Southern English são divididos em\n。"
"9","なるほど～。\n日本だっていっぱい方言がありますし、\n世界も似たようなものなんですね。","I see ~\nThere are many dialects in Japan, and\nThe world is similar, isn't it？","Eu vejo ~\nExistem muitos dialetos no Japão, e\nO mundo é semelhante, não é？"
"10","はっ！？　待ってください！\nということは、いつかイギリス式の英語も\n勉強しなきゃいけないんですか？","Huh！？ Please wait！\nmeans that one day British English will also be\nDo I have to study？","Huh！？ Por favor, espere！\nsignifica que um dia o inglês britânico também será\nEu tenho que estudar？"
"11","ほらみろ。","Look, look","Olha, olha"
"12","ま、まあ、そうだな。","Well, well, that's right。","Ora, ora, está certo。"
"13","イギリスではゼットだが\nアメリカではズィーなんだよ。","It's Zed in England, but\nin America it's Zee。","É Zed na Inglaterra, mas\nna América é Zee。"
"14","ラベル0","Label 0","Rótulo 0"
"15","ラベル1","Label 1","Etiqueta 1"
"16","右","right","certo"
"17","四葉","Yotsuba","Yotsuba"
"18","四葉、最後の発音は『ズィー』だ。\nゼットじゃない。","Yotsuba, the last pronunciation is ""Zee""。 Not\nZet。","Yotsuba, a última pronúncia é ""Zee""。 Não\nZet。"
"19","左","left","esquerdo"
"20","待て待て、別に英語が２種類\n存在しているわけじゃない。\n一部の綴りや発音が違うだけだからな？","Wait, wait, there aren't two different\nof English。\nIs it because only some spellings and pronunciations are different？","Espere, espere, não há dois\ndiferentes de inglês。\nÉ porque apenas algumas grafias e pronúncias são diferentes？"
"21","復習みたいなものだ。\n無駄にはならないからいいだろ？","It's like a review。\nIt's good because it's not going to waste, right？","É como uma crítica。\nÉ bom porque não vai desperdiçar, certo？"
"22","方言ですか？\nえーっと、たとえば\n『なんとかでんがな！』みたいな？","Is it a dialect？\nWell, for example,\n“I managed to do it！ ” It's like？","É um dialeto？\nBem, por exemplo,\n“Consegui fazer isso！ ” É como？"
"23","日本での英語教育は\nアメリカ式が多く用いられているから、\nアメリカ式の発音を使うんだ。","English education in Japan often uses\nAmerican style, so\nAmerican style pronunciation is used。","O ensino de inglês no Japão geralmente usa\nestilo americano, portanto, a pronúncia\nestilo americano é usada。"
"24","日本でも標準語で話せば大体、通じるよな？\nだから、英語も基礎をきちんと\n理解しておけば、困ることはないはずだ。","Even in Japan, if you speak in standard language, you can generally understand it, right？\n, so do you understand the basics of English properly\nIf so, there should be no trouble。","Mesmo no Japão, se você fala em um idioma padrão, geralmente consegue entender, certo？\n, então você entende o básico do inglês corretamente\nSe assim for, não deve haver problemas。"
"25","目がっかり:口がっかり:頬無し","Eyes disappointed: mouth disappointed: no cheeks","Olhos decepcionados: boca decepcionada: sem bochechas"
"26","目キョトン:口キョトン:頬無し","Eyes Kyoton: Mouth Kyoton: No cheeks","Olhos Kyoton: Boca Kyoton: Sem bochechas"
"27","目哀しみ:口哀しみ:頬無し","Eyes sadness: mouth sadness: no cheeks","Tristeza nos olhos: tristeza na boca: sem bochechas"
"28","目困惑:口困惑:頬無し","Eyes Puzzled: Mouth Puzzles: No Cheeks","Olhos intrigados: quebra-cabeças de boca: sem bochechas"
"29","目無表情:口無表情:頬無し","Eyes Expressionless: Mouth Expressionless: No Cheeks","Olhos sem expressão: boca sem expressão: sem bochechas"
"30","目笑顔:口笑顔:頬無し","Eyes Smile: Mouth Smile: No Cheeks","Sorriso de olhos: sorriso na boca: sem bochechas"
"31","目苦笑:口苦笑:頬無し","A bitter smile: a bitter mouth smile: no cheeks","Um sorriso amargo: um sorriso amargo na boca: sem bochechas"
"32","目通常:口通常:頬無し","Eyes Normal: Mouth Normal: No Cheeks","Olhos normais: boca normal: sem bochechas"
"33","目驚き:口驚き:頬無し","Eye surprise: mouth surprise: no cheek","Surpresa ocular: surpresa na boca: sem bochecha"
"34","風太郎","Futaro","Futaro"
"35","Ｏ、Ｐ、Ｑ、Ｒ、Ｓ、Ｔ、Ｕ……Ｖ……えっと……\nどっちでしたっけ……Ｗ、Ｘでしたっけ……。","O, P, Q, R, S, T, U……V……Um……\nWhich was it……W, X was……？","O, P, Q, R, S, T, U……V……Um……\nQual foi……W, X foi……？"
