"1","あとは、季節が冬だったら完璧だな。","After that, it would be perfect if the season was winter。","Depois disso, seria perfeito se a temporada fosse inverno。"
"2","このお鍋、美味しいですね。","This pot is delicious, isn't it？","Esse pote é delicioso, não é？"
"3","さんせーい！","SANSEI！","SANSEI！"
"4","やっぱり寒い時期が本番だもんね。\n冬になったら、またみんなでお鍋を囲もっか。","After all, the cold season is real, isn't it？\nWhen winter comes, can we all surround the pot again？","Afinal, a estação fria é real, não é？\nQuando chega o inverno, podemos todos cercar a panela novamente？"
"5","らいは","Raiha","Raiha"
"6","一花","Ichika","Ichika"
"7","二乃","Nino","Nino"
"8","五月","May","Maio"
"9","出右","Izu","Izu"
"10","出左","Izusa","Izusa"
"11","目微笑:口微笑:頬無し","Eyes Smiling: Mouth Smiling: No Cheeks","Olhos sorrindo: boca sorrindo: sem bochechas"
"12","目笑顔:口笑顔:頬笑顔","Eyes Smile: Mouth Smile: Cheek Smile","Sorriso de olhos: sorriso na boca: sorriso na bochecha"
"13","目通常:口通常:頬無し","Eyes Normal: Mouth Normal: No Cheeks","Olhos normais: boca normal: sem bochechas"
"14","目通常:口通常:頬無し:汗無し","Eyes Normal: Mouth Normal: No Cheeks: No Sweat","Olhos normais: boca normal: sem bochechas: sem suor"
"15","鍋って適当に作っても食べられるものにはなるけど、\nここまでの味は、ちょっとした奇跡ね。","Even if you make a hot pot appropriately, you can eat it, but\nthe taste up to this point is a bit of a miracle。","Mesmo se você fizer uma panela quente adequadamente, você pode comê-la, mas\no sabor até este ponto é um milagre。"
"16","風太郎","Futaro","Futaro"
