"1","あっ、上杉さん。\nもう今日のお仕事は終わりですか？","Oh, Mr。 Uesugi\nAre you done with today's work yet？","Oh, Sr。 Uesugi\nVocê já terminou o trabalho de hoje？"
"2","あはは、少しお疲れみたいですね。\nちょっとここで休んでいきませんか？","Aha, it looks like you're a little tired。\nWhy don't you take a break here for a moment？","Aha, parece que você está um pouco cansado。\nPor que você não faz uma pausa aqui por um momento？"
"3","あまり夜更かしするなよ。\n盛大に寝坊しても知らんぞ。","Don't stay up late too much。\nI don't know if I overslept grandly。","Não fique acordado até tarde demais。\nNão sei se dormi demais。"
"4","いだだだだだだ！！","That's it！ That's it！","É isso aí！ É isso aí！"
"5","うが！　痛い痛い痛い！！\n四葉、ちょっと手加減してくれ！","Gargle！ Ow, ouch, ouch！\nYotsuba, give me a little bit easier！","Gargarejo！ Ai, ai, ai！\nYotsuba, me dê um pouco mais fácil！"
"6","うぐぐぐ……。","Ugugugugu……","Ugugugugu……"
"7","うーん、上杉さん、かなり疲労してますね。\n押して痛いと感じるってことは相当ですよ。\nえっと、次は……。","Hmm, Mr。 Uesugi, I'm pretty tired。 It's pretty good to feel it hurts when you press\n。\nWell, next is……。","Hmm, Sr。 Uesugi, estou muito cansado。 É muito bom sentir que dói quando você pressiona\n。\nBem, o próximo é……。"
"8","えっ？　でもまだ、緊張をほぐしたり\n背中のコリをほぐすツボがあるんですけど。","Eh？ But there are still pressure points that relieve tension and relieve\nback stiffness。","Eh？ Mas ainda existem pontos de pressão que aliviam a tensão e aliviam a rigidez das costas\n。"
"9","こうか？","Is it like this？","É assim？"
"10","ここは目の疲れや肩こりに効くそうです。\nだいたい５秒くらい押すと効果があるそうなので、\n少しだけ我慢してくださいねー。","This place seems to be effective for eye fatigue and stiff shoulders。 It seems that pressing\nfor about 5 seconds will have an effect, so\nPlease be patient with me a little bit。","Este lugar parece ser eficaz para fadiga ocular e ombros rígidos。 Parece que pressionar\npor cerca de 5 segundos terá um efeito, então\nPor favor, seja paciente comigo um pouco。"
"11","じゃあ、そうしますねー。","Well, I'll do that。","Bem, eu farei isso。"
"12","それじゃいきますよー。\nええと、まずは手の甲の、親指と人差し指の間を……。","That's it, let's go。\nWell, first of all, on the back of the hand, between the thumb and index finger is……。","É isso aí, vamos。\nBem, em primeiro lugar, na parte de trás da mão, entre o polegar e o indicador é……。"
"13","それは他のやつにやってあげてくれ。","Give it to someone else。","Dê para outra pessoa。"
"14","というわけで上杉さん、手を出してください。","That's why Uesugi-san, please try your hand。","É por isso que Uesugi-san, por favor, tente sua mão。"
"15","はい、そうです。\nこれが結構効きそうなんですよ。","Yes, it is。\nThis seems to work quite well。","Sim, é。\nIsso parece funcionar muito bem。"
